format	width	quality	size	dssim	filename
webp	320	90	21744	0.00096137	./quality-samples/sample2.jpg
webp	320	95	33186	0.00051647	./quality-samples/sample2.jpg
webp	320	100	48540	0.00035787	./quality-samples/sample2.jpg
jpeg	320	10	4133	0.02369848	./quality-samples/sample2.jpg
jpeg	320	15	5489	0.01562669	./quality-samples/sample2.jpg
jpeg	320	20	6641	0.01113988	./quality-samples/sample2.jpg
jpeg	320	25	7728	0.00854353	./quality-samples/sample2.jpg
jpeg	320	30	8712	0.00665459	./quality-samples/sample2.jpg
jpeg	320	35	9645	0.00534092	./quality-samples/sample2.jpg
jpeg	320	40	10422	0.0046187	./quality-samples/sample2.jpg
jpeg	320	45	11332	0.00402282	./quality-samples/sample2.jpg
jpeg	320	50	12094	0.00358075	./quality-samples/sample2.jpg
jpeg	320	55	12867	0.00323808	./quality-samples/sample2.jpg
jpeg	320	60	13839	0.00286471	./quality-samples/sample2.jpg
jpeg	320	65	15080	0.00249674	./quality-samples/sample2.jpg
jpeg	320	70	16648	0.00211751	./quality-samples/sample2.jpg
jpeg	320	75	18358	0.0017301	./quality-samples/sample2.jpg
jpeg	320	80	21070	0.0013779	./quality-samples/sample2.jpg
jpeg	320	85	24906	0.00101245	./quality-samples/sample2.jpg
jpeg	320	90	31532	0.00064692	./quality-samples/sample2.jpg
jpeg	320	95	46165	0.00034486	./quality-samples/sample2.jpg
jpeg	320	100	100049	0.00014592	./quality-samples/sample2.jpg
avif	320	10	1355	0.02661393	./quality-samples/sample2.jpg
avif	320	15	1604	0.01918878	./quality-samples/sample2.jpg
avif	320	20	1993	0.01436724	./quality-samples/sample2.jpg
avif	320	25	2349	0.01114366	./quality-samples/sample2.jpg
avif	320	30	2759	0.00901644	./quality-samples/sample2.jpg
avif	320	35	3418	0.00708073	./quality-samples/sample2.jpg
avif	320	40	3941	0.00550151	./quality-samples/sample2.jpg
avif	320	45	4762	0.00448789	./quality-samples/sample2.jpg
avif	320	50	5682	0.00345337	./quality-samples/sample2.jpg
avif	320	55	7307	0.00261705	./quality-samples/sample2.jpg
avif	320	60	8722	0.00208908	./quality-samples/sample2.jpg
avif	320	65	10097	0.0017479	./quality-samples/sample2.jpg
avif	320	70	11295	0.00149024	./quality-samples/sample2.jpg
avif	320	75	12861	0.00124894	./quality-samples/sample2.jpg
avif	320	80	14928	0.00106508	./quality-samples/sample2.jpg
avif	320	85	19288	0.00082712	./quality-samples/sample2.jpg
avif	320	90	25465	0.00065043	./quality-samples/sample2.jpg
avif	320	95	38458	0.00051796	./quality-samples/sample2.jpg
avif	320	100	64079	0.00045635	./quality-samples/sample2.jpg
webp	320	10	11630	0.01922997	./quality-samples/sample3.jpg
webp	320	15	13852	0.01569467	./quality-samples/sample3.jpg
webp	320	20	15704	0.01154358	./quality-samples/sample3.jpg
webp	320	25	18284	0.00933648	./quality-samples/sample3.jpg
webp	320	30	20494	0.00833627	./quality-samples/sample3.jpg
webp	320	35	22248	0.0073156	./quality-samples/sample3.jpg
webp	320	40	23536	0.00666147	./quality-samples/sample3.jpg
webp	320	45	25380	0.00586415	./quality-samples/sample3.jpg
webp	320	50	26860	0.00533792	./quality-samples/sample3.jpg
webp	320	55	28732	0.0046734	./quality-samples/sample3.jpg
webp	320	60	30082	0.00468027	./quality-samples/sample3.jpg
webp	320	65	32168	0.00425337	./quality-samples/sample3.jpg
webp	320	70	33894	0.00382445	./quality-samples/sample3.jpg
webp	320	75	36270	0.00340811	./quality-samples/sample3.jpg
webp	320	80	43120	0.00223717	./quality-samples/sample3.jpg
webp	320	85	51612	0.00158324	./quality-samples/sample3.jpg
webp	320	90	63378	0.00108235	./quality-samples/sample3.jpg
webp	320	95	79980	0.00078683	./quality-samples/sample3.jpg
webp	320	100	102294	0.00060083	./quality-samples/sample3.jpg
jpeg	320	10	8884	0.02888131	./quality-samples/sample3.jpg
jpeg	320	15	12233	0.0185571	./quality-samples/sample3.jpg
jpeg	320	20	15189	0.01332618	./quality-samples/sample3.jpg
jpeg	320	25	17906	0.01060193	./quality-samples/sample3.jpg
jpeg	320	30	20198	0.008676	./quality-samples/sample3.jpg
jpeg	320	35	22372	0.00752719	./quality-samples/sample3.jpg
jpeg	320	40	24194	0.0066726	./quality-samples/sample3.jpg
jpeg	320	45	26172	0.00591205	./quality-samples/sample3.jpg
jpeg	320	50	27948	0.00532609	./quality-samples/sample3.jpg
jpeg	320	55	29782	0.00486696	./quality-samples/sample3.jpg
jpeg	320	60	32014	0.00442718	./quality-samples/sample3.jpg
jpeg	320	65	34822	0.00389746	./quality-samples/sample3.jpg
jpeg	320	70	38200	0.00336132	./quality-samples/sample3.jpg
jpeg	320	75	42089	0.00285955	./quality-samples/sample3.jpg
jpeg	320	80	48078	0.00230814	./quality-samples/sample3.jpg
jpeg	320	85	56437	0.00169944	./quality-samples/sample3.jpg
jpeg	320	90	69873	0.00114691	./quality-samples/sample3.jpg
jpeg	320	95	96295	0.00066074	./quality-samples/sample3.jpg
jpeg	320	100	163183	0.00045605	./quality-samples/sample3.jpg
